over,ball_no,balls_bowled,runs
0,1,1,0
0,2,2,0
0,3,3,1
0,4,4,2
0,5,5,0
0,6,6,3
1,1,7,0
1,2,8,1
1,3,9,0
1,4,10,0
1,5,11,4
1,6,12,2
2,1,13,1
2,2,14,1
2,3,15,0
2,4,16,0
2,5,17,4
2,6,18,0
3,1,19,0
3,2,20,1
3,3,21,1
3,4,22,1
3,5,23,4
3,6,24,1
4,1,25,3
4,2,26,3
4,3,27,4
4,4,28,4
4,5,29,1
4,6,30,1
5,1,31,1
5,2,32,1
5,3,33,0
5,4,34,0
5,5,35,1
5,6,36,1
5,7,37,0
6,1,37,1
6,2,38,1
6,3,39,0
6,4,40,1
6,5,41,1
6,6,42,2
7,1,43,0
7,2,44,1
7,3,45,1
7,4,46,1
7,5,47,4
7,6,48,1
8,1,49,1
8,2,50,3
8,3,51,1
8,4,52,0
8,5,53,0
8,6,54,1
9,1,55,1
9,2,56,0
9,3,57,0
9,4,58,0
9,5,59,6
9,6,60,1
10,1,61,0
10,2,62,1
10,3,63,0
10,4,64,2
10,5,65,0
10,6,66,0
11,1,67,6
11,2,68,2
11,3,69,0
11,4,70,1
11,5,71,1
11,6,72,1
12,1,73,0
12,2,74,1
12,3,75,1
12,4,76,0
12,5,77,1
12,6,78,1
13,1,79,0
13,2,80,1
13,3,81,1
13,4,82,2
13,5,83,1
13,6,84,1
13,7,85,1
14,1,85,1
14,2,86,3
14,3,87,1
14,4,88,6
14,5,89,3
14,6,90,2
15,1,91,0
15,2,92,1
15,3,93,2
15,4,94,1
15,5,95,2
15,6,96,1
15,7,97,6
16,1,97,2
16,2,98,4
16,3,99,1
16,4,100,1
16,5,101,1
16,6,102,1
17,1,103,1
17,2,104,2
17,3,105,1
17,4,106,1
17,5,107,1
17,6,108,1
17,7,109,2
18,1,109,2
18,2,110,1
18,3,111,2
18,4,112,0
18,5,113,0
18,6,114,1
19,1,115,4
19,2,116,0
19,3,117,2
19,4,118,1
19,5,119,1
19,6,120,2
19,7,121,4
